Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,PDO,Year
Washington Capitals*,27.9,82,56,18,8,120,0.732,252,193,4,2,0.7,-0.02,5.43,191,141,55,251,21.91,38,256,85.16,2,5,9,8.7,2510,9.9,2332,0.918,101.1,2016
Dallas Stars*,28.9,82,50,23,9,109,0.665,267,230,2,2,0.45,-0.01,6.06,197,163,58,262,22.14,44,248,82.26,10,15,8.5,8.7,2624,10.1,2371,0.904,99.8,2016
St. Louis Blues*,28,82,49,24,9,107,0.652,224,201,5,4,0.28,0,5.18,164,137,51,237,21.52,41,276,85.14,4,5,10.3,9,2474,8.9,2439,0.919,100.1,2016
Pittsburgh Penguins*,29,82,48,26,8,104,0.634,245,203,4,4,0.5,-0.01,5.46,182,145,48,261,18.39,40,257,84.44,11,5,8.4,8.8,2722,8.9,2436,0.918,100.5,2016
Anaheim Ducks*,27.4,82,46,25,11,103,0.628,218,192,3,4,0.27,-0.05,5,152,143,56,245,22.86,37,290,87.24,7,3,12.3,10.9,2483,8.7,2258,0.917,99.2,2016
Florida Panthers*,29.2,82,47,26,9,103,0.628,239,203,7,3,0.42,-0.02,5.39,180,131,47,278,16.91,55,268,79.48,5,5,10.1,10,2358,9.8,2419,0.917,101.7,2016
Chicago Blackhawks*,28.6,82,47,26,9,103,0.628,235,209,1,2,0.32,0,5.41,167,151,57,252,22.62,46,233,80.26,10,3,7.1,8.5,2498,9.4,2526,0.918,99.6,2016
Los Angeles Kings*,28.3,82,48,28,6,102,0.622,225,195,2,3,0.32,-0.04,5.12,171,128,47,235,20,53,285,81.4,5,3,10.4,9,2625,8.5,2254,0.915,99.8,2016
New York Rangers*,29.6,82,46,27,9,101,0.616,236,217,3,2,0.24,0.01,5.52,188,144,42,226,18.58,53,243,78.19,3,5,8.5,8,2336,10,2494,0.914,102.1,2016
New York Islanders*,27.9,82,45,27,10,100,0.61,232,216,5,5,0.19,0,5.46,178,158,43,229,18.78,36,232,84.48,7,6,8.5,9,2412,9.4,2495,0.915,100.6,2016
San Jose Sharks*,29.1,82,46,30,6,98,0.598,241,210,4,3,0.33,-0.05,5.5,169,138,62,275,22.55,46,236,80.51,6,7,8.6,10.8,2491,9.5,2245,0.908,100,2016
Tampa Bay Lightning*,27.3,82,46,31,5,97,0.591,227,201,3,3,0.3,-0.02,5.22,173,134,44,279,15.77,41,257,84.05,7,7,9.7,10.3,2402,9.3,2366,0.916,100.8,2016
Philadelphia Flyers*,28.1,82,41,27,14,96,0.585,214,218,3,8,-0.03,0.02,5.27,155,139,53,280,18.93,51,262,80.53,3,8,11.7,11.6,2540,8.3,2519,0.917,100.4,2016
Nashville Predators*,28.4,82,41,27,14,96,0.585,228,215,4,2,0.17,0.01,5.4,166,154,51,259,19.69,46,245,81.22,7,2,9.7,9.5,2507,8.9,2242,0.905,99.5,2016
Boston Bruins,28.8,82,42,31,9,93,0.567,240,230,4,2,0.11,-0.02,5.73,179,162,48,234,20.51,48,270,82.22,9,4,11.2,10.2,2620,9,2490,0.908,100.1,2016
Detroit Red Wings*,28.7,82,41,30,11,93,0.567,211,224,2,5,-0.16,0,5.3,157,154,50,266,18.8,50,271,81.55,2,4,8.5,8.9,2432,8.6,2439,0.91,99.7,2016
