Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,PDO,Year
Minnesota Wild*,28,82,38,33,11,87,0.53,216,206,3,2,0.13,0.01,5.15,158,142,48,259,18.53,45,204,77.94,7,6,6.4,8.3,2374,9,2347,0.913,100.6,2016
Carolina Hurricanes,27,82,35,31,16,86,0.524,198,226,2,5,-0.31,0.03,5.17,153,174,40,238,16.81,32,204,84.31,3,5,6.6,7.6,2451,8,2261,0.902,98.6,2016
Ottawa Senators,27,82,38,35,9,85,0.518,236,247,6,6,-0.13,0.01,5.89,175,161,38,239,15.9,61,253,75.89,17,3,10.7,10.8,2325,9.9,2688,0.91,101,2016
New Jersey Devils,27.9,82,38,36,8,84,0.512,184,208,2,6,-0.28,0.02,4.78,126,138,51,256,19.92,45,264,82.95,5,8,9.7,9,2003,9.1,2349,0.914,99.6,2016
Montreal Canadiens,28,82,38,38,6,82,0.5,221,236,5,3,-0.18,0,5.57,166,163,42,259,16.22,46,254,81.89,8,11,9.3,9.7,2504,8.6,2408,0.903,99.4,2016
Colorado Avalanche,28.3,82,39,39,4,82,0.5,216,240,4,0,-0.26,0.03,5.56,157,162,48,266,18.05,51,258,80.23,7,9,9.2,9.2,2348,9,2649,0.909,100.5,2016
Buffalo Sabres,26.2,82,35,36,11,81,0.494,201,222,2,7,-0.25,0.01,5.16,145,157,48,254,18.9,38,218,82.57,6,6,8.9,10.1,2418,8.2,2511,0.914,99.2,2016
Arizona Coyotes,27.6,82,35,39,8,78,0.476,209,245,1,1,-0.43,0.01,5.54,151,152,53,300,17.67,69,304,77.3,4,14,12.2,11.3,2265,9.2,2539,0.904,100.6,2016
Winnipeg Jets,26.8,82,35,39,8,78,0.476,215,239,3,3,-0.26,0.03,5.54,164,153,38,257,14.79,61,282,78.37,10,4,11.1,10.2,2427,8.7,2423,0.903,99.7,2016
Calgary Flames,27.7,82,35,40,7,77,0.47,231,260,2,3,-0.36,-0.01,5.99,173,176,46,270,17.04,57,234,75.64,10,7,9,9.3,2398,9.5,2377,0.892,99.4,2016
Columbus Blue Jackets,26.5,82,34,40,8,76,0.463,219,252,6,4,-0.38,0.03,5.74,167,172,43,248,17.34,53,279,81,3,8,12,10.6,2387,8.9,2550,0.903,99.8,2016
Vancouver Canucks,28.9,82,31,38,13,75,0.457,191,243,5,4,-0.62,0.02,5.29,143,167,39,247,15.79,47,249,81.12,4,8,9.8,9.8,2311,8,2668,0.91,99.4,2016
Edmonton Oilers,26.4,82,31,43,8,70,0.427,203,245,4,3,-0.51,0,5.46,151,174,43,237,18.14,49,254,80.71,5,6,9.5,9,2386,8.3,2548,0.905,98.8,2016
Toronto Maple Leafs,27.4,82,29,42,11,69,0.421,198,246,6,6,-0.56,0.03,5.41,149,172,40,259,15.44,50,272,81.62,3,8,8.8,8.9,2515,7.6,2503,0.904,98.4,2016
