Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,PDO,Year
Chicago Blackhawks*,26.8,48,36,7,5,77,0.802,155,102,6,5,1.04,-0.07,5.35,119,73,25,150,16.67,18,141,87.23,5,5,9.1,9.8,1494,10,1258,0.923,101.7,2013
Pittsburgh Penguins*,29,48,36,12,0,72,0.75,165,119,3,0,0.91,-0.05,5.92,118,79,42,170,24.71,34,167,79.64,2,3,11.5,12,1438,11.3,1403,0.915,102.5,2013
Anaheim Ducks*,28.8,48,30,12,6,66,0.688,140,118,6,3,0.43,-0.02,5.38,100,76,29,135,21.48,30,162,81.48,5,5,10.9,9.4,1347,9.9,1340,0.914,101.5,2013
Montreal Canadiens*,27.8,48,29,14,5,63,0.656,149,126,3,2,0.46,-0.02,5.73,104,85,42,203,20.69,35,173,79.77,0,2,13,14.6,1468,9.9,1293,0.904,100.9,2013
Boston Bruins*,27.8,48,28,14,6,62,0.646,131,109,4,3,0.44,-0.02,5,104,78,18,122,14.75,21,163,87.12,5,2,11.9,9.5,1557,8.2,1373,0.923,100.5,2013
St. Louis Blues*,26.3,48,29,17,2,60,0.625,129,115,5,1,0.31,0.02,5.08,92,84,29,149,19.46,23,150,84.67,3,5,10.7,11,1336,9.3,1161,0.902,99.4,2013
Los Angeles Kings*,26.5,48,27,16,5,59,0.615,133,118,2,4,0.29,-0.02,5.23,96,83,33,166,19.88,27,161,83.23,2,1,9.8,10.4,1431,9.2,1198,0.905,99.2,2013
Vancouver Canucks*,28.2,48,26,15,7,59,0.615,127,121,5,6,0.07,-0.06,5.17,94,84,26,165,15.76,27,169,84.02,2,3,12.6,12.9,1350,9,1389,0.917,100.4,2013
Toronto Maple Leafs*,26,48,26,17,5,57,0.594,145,133,0,5,0.27,0.02,5.79,113,101,31,166,18.67,19,157,87.9,1,4,15.9,15,1264,11.5,1549,0.917,102.5,2013
Washington Capitals*,26.6,48,27,18,3,57,0.594,149,130,3,0,0.31,-0.09,5.81,99,89,44,164,26.83,36,163,77.91,3,4,10.6,11.3,1350,10.8,1551,0.916,101.2,2013
San Jose Sharks*,28.9,48,25,16,7,57,0.594,124,116,8,4,0.17,0.01,5,79,83,34,169,20.12,22,147,85.03,3,4,10.8,11,1526,7.6,1390,0.919,99.7,2013
Ottawa Senators*,27.4,48,25,17,6,56,0.583,116,104,4,4,0.27,0.02,4.58,85,77,25,157,15.92,20,167,88.02,2,1,13.5,13.5,1591,7,1502,0.933,99.6,2013
Detroit Red Wings*,28.2,48,24,16,8,56,0.583,124,115,2,5,0.2,0.01,4.98,85,73,34,185,18.38,30,164,81.71,3,5,9.6,11.2,1447,8.4,1322,0.917,100.2,2013
New York Rangers*,27.2,48,26,18,4,56,0.583,130,112,4,4,0.38,0,5.04,97,71,24,153,15.69,28,148,81.08,5,4,9,9.9,1483,8.5,1353,0.92,100.8,2013
Columbus Blue Jackets,26.3,48,24,17,7,55,0.573,120,119,5,4,0.03,0.01,4.98,90,85,22,155,14.19,25,144,82.64,3,2,12.4,12.5,1283,9,1436,0.92,101.2,2013
